Referrer,Type
URI_0,NA
URI_1,Other
URI_2,Other
URI_3,Other
URI_4,Other
URI_5,Catalogue
URI_6,Other
URI_7,Other
URI_8,Partners
URI_9,Catalogue
URI_10,Other
URI_11,Other
URI_12,Fulltext
URI_13,Fulltext
URI_14,Fulltext
URI_15,Fulltext
URI_16,Fulltext
URI_17,Other
URI_18,Other
URI_19,Other
URI_20,Fulltext
URI_21,Other
URI_22,Catalogue
URI_23,Other
URI_24,OwnWebs
URI_25,Other
URI_26,Other
URI_27,Other
URI_28,Fulltext
URI_29,Other
URI_30,Other
URI_31,Other
URI_32,Other
URI_33,Other
URI_34,NA
URI_35,Other
URI_36,Other
URI_37,Fulltext
URI_38,Fulltext
URI_39,Fulltext
URI_40,Fulltext
URI_41,Fulltext
URI_42,Fulltext
URI_43,Fulltext
URI_44,Fulltext
URI_45,Fulltext
URI_46,OwnWebs
URI_47,Other
URI_48,Other
URI_49,Other
URI_50,Other
URI_51,Other
URI_52,Other
URI_53,Partners
URI_54,Other
URI_55,Partners
URI_56,Other
URI_57,Other
URI_58,Other
URI_59,Other
URI_60,OwnWebs
URI_61,Other
URI_62,Other
URI_63,Other
URI_64,Partners
URI_65,Other
URI_66,Other
URI_67,Other
URI_68,Partners
URI_69,Other
URI_70,Other
URI_71,Other
URI_72,Other
URI_73,OwnWebs
URI_74,Other
URI_75,Other
URI_76,Other
URI_77,Other
URI_78,Partners
URI_79,Fulltext
URI_80,Fulltext
URI_81,Fulltext
URI_82,Fulltext
URI_83,Fulltext
URI_84,Fulltext
URI_85,Fulltext
URI_86,Fulltext
URI_87,Fulltext
URI_88,Fulltext
URI_89,Fulltext
URI_90,Other
URI_91,Other
URI_92,Other
URI_93,Partners
URI_94,Partners
URI_95,Partners
URI_96,Other
URI_97,Other
URI_98,Other
URI_99,OwnWebs
URI_100,OwnWebs
URI_101,OwnWebs
URI_102,OwnWebs
URI_103,Other
URI_104,Other
URI_105,Other
URI_106,Partners
URI_107,Partners
URI_108,Partners
URI_109,Other
URI_110,NA
URI_111,NA
URI_112,NA
URI_113,NA
URI_114,Other
URI_115,Other
URI_116,Other
URI_117,OwnWebs
URI_118,OwnWebs
URI_119,OwnWebs
URI_120,Other
URI_121,OwnWebs
URI_122,Other
URI_123,Other
URI_124,Other
URI_125,Other
URI_126,Partners
URI_127,Other
URI_128,Other
URI_129,Other
URI_130,Partners
URI_131,Partners
URI_132,OwnWebs
URI_133,Other
URI_134,Other
URI_135,Other
URI_136,Partners
URI_137,Partners
URI_138,Fulltext
URI_139,Other
